"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","doi","keywords","pubmed_id","pmc_id","inclusion","labels1","labels2","labels3","exclusion_reasons1","exclusion_reasons2"
"rayyan-219980995","Coffee agroforestry as an alternative to the implementation of green economy practices in Indonesia: A systematic review",2023,NA,NA,"AIMS Agriculture and Food","",8,3,"762-788","Ulya, N.A. and Harianja, A.H. and Sayekti, A.L. and Yulianti, A. and Djaenudin, D. and Martin, E. and Hariyadi, H. and Witjaksono, J. and Malau, L.R.E. and Mudhofir, M.R.T. and Astana, S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168837289&doi=10.3934%2fagrfood.2023041&partnerID=40&md5=427d86ef00ae8166043c15c226e6fb4a","English",NA,"","Agroforestry systems, particularly the coffee agroforestry system (CAS), represent a promising approach to achieving sustainable development and promoting a green economy in Indonesia. Our research aims to explore the potential of CAS to provide ecosystem services and socio-economic benefits and address environmental risks in Indonesia. To critically analyze the current state of CAS in Indonesia, its potential for sustainable development, and the challenges that should be addressed to increase its uptake, we conducted a systematic review of published academic literature. Our findings suggest that CAS has the potential to turn a profit in the future thanks to rising global and domestic market demand as well as environmental benefits like reducing carbon emissions and improving resource efficiency. However, several challenges should be addressed to improve coffee quality and sustain green economy activities, including product certification, collaboration with NGOs and business entities, and coordination of government policies at the site level. Overall, this study highlights the importance of CAS as a green economy approach in Indonesia and suggests policy recommendations to support its promotion and adoption. By addressing the challenges and promoting the potential of CAS, sustainable development and green economic growth can be achieved in Indonesia. © 2023 the Author(s), licensee AIMS Press. This is an open access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/4.0)",NA,"10.3934/agrfood.2023041","certification;profitable;social forestry;sustainable farm;systematic review",NA,NA,"Included","ecosystem services",NA,NA,NA,NA
"rayyan-219980996","Modeling paddy field soil conditions in East Java, Indonesia",2021,NA,NA,"Soil Security","",5,NA,"","Adi, S.H. and Grunwald, S. and Tafakresnanto, C. and Sosiawan, H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176204500&doi=10.1016%2fj.soisec.2021.100025&partnerID=40&md5=503cd6dbf9e56fadbbc0c28f9ff726b9","English",NA,"","Knowledge of soil conditions is a critical factor of effective land management to achieve optimum ecosystem services in agriculture. Digital soil modeling that incorporates soil spectral data has become a cost-efficient method compared to traditional wet-chemical soil analysis to produce high quality soil management data at the regional level. This research objective was to develop soil property prediction models to assess the characteristics of paddy field soil conditions in East Java, Indonesia. This study examined the utilization of a hybrid two-step regression (2Step-R) soil modeling approach that incorporates categorical soil-environmental variables and continuous visible-near-infrared (VNIR) spectral data. The integrative 2Step-R method was implemented in two modes—Partial Least Square Regression, PLSRmod, and Sparse Bayesian Infinite Factor, SBIFmod—with ‘mod’ referring to the fusion of important categorical soil-environmental parameters and soil VNIR spectral data. This research successfully developed reliable prediction models for soil organic carbon, nitrogen (N), pH, sum of bases (SB), and cation exchange capacity in the study area, with acceptable model performance (performance to interquartile ratio or RPIQ 1.77 to 2.54; performance to deviation ratio or RPD 1.45 to 1.89; and coefficient of determination or R2 0.53 to 0.72). The fused soil-environmental and VNIR spectral data approach (2Step-R) showed markedly improved model performances when compared to models that solely used VNIR spectra data (PLSR) for all modeled soil properties. This research underpins the utilization of cost-effective soil modeling to reveal existing soil conditions in securing soil ecosystem services for intensive agriculture in data sparse regions such as Indonesia. © 2021 The Authors",NA,"10.1016/j.soisec.2021.100025","Agricultural soil modeling;Soil data fusion;Soil property prediction;Soil security;Soil VNIR spectroscopy",NA,NA,"Included","state of ecosystem",NA,NA,NA,NA
"rayyan-219980997","Wildlife diversity and ecology for sustainable eco-edutourism in Peramun Hill, Belitung, Indonesia",2023,NA,NA,"IOP Conference Series: Earth and Environmental Science","",1271,1,"","Rianti, P. and Arisanti, S. and Sandika, A.M.P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182014066&doi=10.1088%2f1755-1315%2f1271%2f1%2f012052&partnerID=40&md5=a7874c75f11458981fd7e1ded2cc40ff","English",NA,"","Peramun Hill, one of the sites in Belitong Geopark, Belitung Regency, has a unique land-cross section and is a sustainable tourism area, providing an ecosystem service to nature and local society. Therefore, carrying out wildlife diversity information can be the guideline for managing conservation and eco-edu tourism. This study aims to record wildlife biodiversity and its ecological function at Peramun Hill. We used the purposive sampling method and analyzed with richness index, diversity, Evenness, and Kruskal-Wallis's test. We recorded 12 species of Pisces (fish), six species of amphibians, eight species of reptiles, 18 species of aves, and seven species of mammals. It includes the endemic mammalian species, Cephalophacus bancanus saltator, and a newly recorded reptile species, Cnemaspis purnamae. Two wildlife species are classified as data deficient, two are vulnerable, three are endangered, seven are critically endangered, and four are protected in Indonesia. These findings show that Peramun Hill has low species richness and is dominated by particular species in the entire habitat area. The various types of ecosystems in the area (primary, secondary, and agroforestry forest) might affect wildlife biodiversity. Therefore, biodiversity conservation must be managed, especially in ecosystem services such as sustainable tourism. © Published under licence by IOP Publishing Ltd.",NA,"10.1088/1755-1315/1271/1/012052","ecological function;endemic species;fauna;wildlife inventory",NA,NA,"Included","ecosystem services",NA,NA,NA,NA
"rayyan-219980998","Soil organic matter responses to mangrove restoration: A replanting experience in Northeast Brazil",2021,NA,NA,"International Journal of Environmental Research and Public Health","",18,17,"","Jimenez, L.C.Z. and Queiroz, H.M. and Otero, X.L. and Nóbrega, G.N. and Ferreira, T.O.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113539264&doi=10.3390%2fijerph18178981&partnerID=40&md5=de9d45e77039c40125f1119562f8a7fb","English",NA,"","Mangroves are among the most relevant ecosystems in providing ecosystem services because of their capacity to act as sinks for atmospheric carbon. Thus, restoring mangroves is a strategic pathway for mitigating global climate change. Therefore, this study aimed to examine the organic matter dynamics in mangrove soils during restoration processes. Four mangrove soils under different developmental stages along the northeastern Brazilian coast were studied, including a degraded mangrove (DM); recovering mangroves after 3 years (3Y) and 7 years (7Y) of planting; and a mature mangrove (MM). The soil total organic carbon (CT) and soil carbon stocks (SCSs) were determined for each area. Additionally, a demineralization procedure was conducted to assess the most complex humidified and recalcitrant fractions of soil organic matter and the fraction participating in organomineral interactions. The particle size distribution was also analyzed. Our results revealed significant differences in the SCS and CT values between the DM, 3Y and 7Y, and the MM, for which there was a tendency to increase in carbon content with increasing vegetative development. However, based on the metrics used to evaluate organic matter interactions with inorganic fractions, such as low rates of carbon enrichment, C recovery, and low C content after hydrofluoric acid (HF) treatment being similar for the DM and the 3Y and 7Y—this indicated that high carbon losses were coinciding with mineral dissolution. These results indicate that the organic carbon dynamics in degraded and newly planted sites depend more on organomineral interactions, both to maintain their previous SCS and increase it, than mature mangroves. Conversely, the MM appeared to have most of the soil organic carbon, as the stabilized organic matter had a complex structure with a high molecular weight and contributed less in the organomineral interactions to the SCS. These results demonstrate the role of initial mangrove vegetation development in trapping fine mineral particles and favoring organomineral interactions. These findings will help elucidate organic accumulation in different replanted mangrove restoration scenarios. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",NA,"10.3390/ijerph18178981","Blue carbon;Carbon stock;Ecosystem restoration;Organomineral interactions;Brazil;Carbon;Ecosystem;Soil;Wetlands;Brazil;Matthiola;Rhizophoraceae;carbon;hydrofluoric acid;mineral;organic carbon;organic matter;soil organic matter;degradation;developmental stage;dissolution;mangrove;restoration ecology;soil carbon;soil organic matter;Article;biofilm;Brazil;bulk density;chronosequence;climate change;ecosystem;ecosystem restoration;evapotranspiration;Leishmania;mangrove;nonhuman;oxidation reduction potential;particle size;plant root;soil;thermostability;total organic carbon;trabecular bone;ecosystem;soil;wetland",NA,NA,"Included","reforestation",NA,NA,NA,NA
"rayyan-219980999","An alternative approach for mapping burn scars using Landsat imagery, Google Earth Engine, and Deep Learning in the Brazilian Savanna",2021,NA,NA,"Remote Sensing Applications: Society and Environment","",22,NA,"","Arruda, V.L.S. and Piontekowski, V.J. and Alencar, A. and Pereira, R.S. and Matricardi, E.A.T.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100551957&doi=10.1016%2fj.rsase.2021.100472&partnerID=40&md5=436413811b7b5b91e13bf3daa6f5f402","English",NA,"","The Cerrado biome in Brazil is characterized by a mosaic of vegetation types similar to African savanna and has one of the highest levels of biodiversity in the world. Wildfires have historically contributed to shaping the natural vegetation and are now being used in the establishment and management of agricultural systems and pastures. Consequently, the fire regime has been changing over the last few decades and increasingly affecting native vegetation, natural habitats, and ecosystem services in tropical regions. Mapping fire dynamics and spatial distribution are crucial to assess impacts on ecosystems and to define and enforce strategies and measures of fire control and prevention. In this study, we developed an alternative approach for mapping burned areas in the Cerrado biome in Brazil, using Landsat imagery and Deep Learning algorithm, implemented on the Google Earth Engine and on Google Cloud Storage platform. We compared our mapping results with two Burned Area products developed by INPE (30 m resolution) and MODIS MCD64A1 Burned Area Product (500 m resolution). Additionally, we assessed the accuracies of these three mapping products using 2,200 validation points within the study area. By comparing our mapping result with MCD64A1 and INPE burn scar products, we estimated an average agreement of 34% for both. We observed that most mapping disagreements were mainly because of the effects of clouds/shadow conditions that affected the ability for spectral observations, differences in methodologies, and spatial resolution of each remotely sensed datasets used for mapping burned areas. Our validation results indicated an overall accuracy of 97% of our methodological approach for mapping burned areas and, therefore, it can be successfully applied across savanna regions. Our results showed that 202,230 km2 was affected by fires within the Cerrado biome in 2017, in which 31% overlapped cropping lands (agricultural fields and pastures) and 67% overlapped various types of native vegetation (forest, savanna and grassland). Our proposed methodological approach and its results can be useful to enforce environmental command and control policies and to estimate carbon emissions, analyses interactions between climate and ecological drivers of fire, develop predictive models of fire risk dynamics, and providing spatial information that can help public policies and fire management/prevention actions for the Cerrado conservation. © 2021 The Authors",NA,"10.1016/j.rsase.2021.100472","Cerrado biome;Deep neural network;Forest fires;Google earth engine;Remote sensing",NA,NA,"Included","state of ecosystem",NA,NA,NA,NA
"rayyan-219981000","Looking for indicator bird species in the context of forest fragmentation and isolation in West Kalimantan, Indonesia",2021,NA,NA,"Global Ecology and Conservation","",27,NA,"","Simamora, T.I. and Purbowo, S.D. and Laumonier, Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105298520&doi=10.1016%2fj.gecco.2021.e01610&partnerID=40&md5=6be02224ac5b069dba289595f8fb3aa8","English",NA,"","In the context of Borneo's drastic landscape fragmentation, we assessed the role of diverse forest and land uses—swidden agriculture, mixed garden, smallholder rubber and oil palm plantations—in determining (1) diversity levels and composition of bird species in different vegetation types; (2) the potential for bird species to act as indicators of habitat quality; and (3) the agricultural matrix's contribution to preserving forest-dependent species. Field campaigns across West Kalimantan sites were conducted during both rainy and dry seasons, using mist nets and 10-min point count recordings along transects. We used four diversity indices, non-metric multidimensional scaling (NMDS) and the Indicator Value index (IndVal) for our analysis. Our results endorsed the general trend found across the tropics of a significant reduction in bird species richness, from the complex natural and old secondary forest structures to the simplified monoculture habitats. We recorded 10,519 individuals across 214 bird species, representing almost 90% of Borneo's lowland forest species. NMDS differentiated intact forest from forest fragments and land under different agriculture uses. Eighty percent of the bird species preferred an intact forest environment. Industrial oil palm sites were the most ‘avoided’ vegetation type. Using IndVal, we found six indicator species significantly associated with forest, three indicator species for depleted forest, one for mixed garden, and none for oil palm plantation. Farm-dependent species richness was strikingly low, and species had little conservation value as per IUCN standards; industrial oil palm plantations were poorest in bird species. Notable exceptions were traditional mixed gardens and old fallows associated with swidden agriculture, when in proximity to forest. These traditional agroforestry systems have higher conservation value than industrial and smallholder monoculture plantations, however, their long-term preservation is uncertain, and monitoring programs are lacking that can contribute to long-term biodiversity conservation and ecosystem service maintenance. More data are needed to determine the viable population sizes for the bird indicator species identified in our study. Such knowledge on population trends can be used to monitor habitat quality and health of forest agriculture landscape mosaics and improve the effectiveness of management, conservation and monitoring in future. © 2021 The Authors",NA,"10.1016/j.gecco.2021.e01610","Bird;Indicator species;Indicator value;Indonesia;Kalimantan;Landscape mosaic",NA,NA,"Excluded",NA,NA,NA,"disturbance detection",NA
"rayyan-219981001","Forest fire risk indicator (FFRI) based on geoprocessing and multicriteria analysis",2022,NA,NA,"Natural Hazards","",114,2,"2311-2330","de Sousa, J.A.P. and do Nascimento Lopes, E.R. and Duarte, M.L. and Ewbank, H. and Lourenço, R.W.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134364465&doi=10.1007%2fs11069-022-05473-x&partnerID=40&md5=4b05952f9e84e96b685eca6947f2848c","English",NA,"","Forest fires negatively impact ecosystem services, affecting human welfare. The present study proposes a Forest Fire Risk Indicator (FFRI) based on the Fire and Burn Risk Indicator (FBRI). The instrument was applied to the Sorocabuçu River Basin in São Paulo State, Brazil. The FBRI was initially obtained by using the factors that most contribute to the start or spread of fires according to the literature. These factors were later grouped into anthropogenic, topographic, land cover/land use, and climatic variables. The factors of each variable were classified into intervals to which a fire risk value was assigned ranging from 0 (null risk) to 1 (very high risk). By applying the Analytical Hierarchy Process, we obtained the final FBRI, after which the FFRI was created. The final FBRI showed predominantly high risks (64.78%) throughout the basin, as well as the FFRI (82.56%). The present study evidences that most forest fragments need measures for ecosystem protection. This can be done in different ways such as monitoring through fire towers and conduction of environmental education activities. © 2022, The Author(s), under exclusive licence to Springer Nature B.V.",NA,"10.1007/s11069-022-05473-x","Fire outbreaks;Fire susceptibility;Forest ecosystems;Forest loss;Brazil;Sao Paulo [Brazil];ecosystem service;factor analysis;fire management;forest ecosystem;forest fire;multicriteria analysis;numerical model;risk factor",NA,NA,"Excluded",NA,NA,NA,"disturbance detection",NA
"rayyan-219981002","Ecosystem Services from Ecological Agroforestry in Brazil: A Systematic Map of Scientific Evidence",2022,NA,NA,"Land","",11,1,"","Schuler, H.R. and Alarcon, G.G. and Joner, F. and Dos Santos, K.L. and Siminski, A. and Siddique, I.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122801221&doi=10.3390%2fland11010083&partnerID=40&md5=4af5d9630efddbf8b2a7da76831a07c8","English",NA,"","(1) Brazil has great potential to expand the area under agroforestry, and thereby simultaneously enhance multiple ecosystem services. However, divergent interests are currently polarized between drastic environmental deregulation and public resource allocation to chemical-intensive land use versus conservation and sustainable agriculture. This highlights an urgent need for a comprehensive overview of the evidence of the benefits to society generated by agroforestry across Brazil. (2) We present a systematic map of the scientific evidence related to the effects of agroforestry on ecosystem services in Brazil. (3) Reviewing 158 peer-reviewed articles, published in international scientific journals (database: Web of Science), we identified a disproportionate emphasis on the Atlantic Forest. Very little research has been published on the Cerrado savanna, Pampa grasslands and Pantanal wetlands. Regulating services were much more frequently studied (85%) than provisioning (13%), while cultural services represent a major gap. A consistent positive effect of agroforestry was demonstrated for soil quality, habitat and food provisioning. Trade-offs were demonstrated for soils and habitats. (4) Our analysis identifies high-priority gaps given their critical importance for human well-being which should be filled: agroforestry effects on water provision and regulation. Moreover, they should assess other ES such as erosion control, flood protection and pest control to enable a more reliable inference about trade-offs. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",NA,"10.3390/land11010083","Agroecology;Agroforests;Ecological intensification;Land-sharing;Nature’s Contributions to People",NA,NA,"Included","ecosystem services",NA,NA,NA,NA
"rayyan-219981003","Spatial and temporal electrical resistivity dynamics in a dense Ultisol under deep tillage and different citrus root-stocks",2023,NA,NA,"Soil and Tillage Research","",228,NA,"","Melo, L.B.B. and Benevenute, P.A.N. and Barbosa, S.M. and Chiarini, T.P.A. and Oliveira, G.C. and Lima, J.M. and Vanella, D. and Consoli, S. and Ferreira, E.A. and Silva, B.M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145783865&doi=10.1016%2fj.still.2022.105629&partnerID=40&md5=1f5ad85f73bfad0f8d4fe2273a95cf2f","English",NA,"","Deep tillage can be applied to face high-density soil horizons by improving the root system's access to deeper layers. In this sense, soil and ecosystem services related to nutrients cycling and water recharge can be improved. In this study, the spatial and temporal dynamics of soil water content (θ) were inferred using two-dimensional electrical resistivity (ER) surveys, that were applied to explore the soil profile treated by deep tillage under different citrus rootstocks (RS) implantation. A seasonal scale ER monitoring (Spring 2018, Summer 2019, and Winter 2019) was carried out at a selected study area, characterized by Ultisols and located in Southeastern Brazil. Three different citrus RS-types, represented by the varieties ‘Cravo Santa Cruz lemon’ (CSC), ‘Sunki Tropical Tangerine’ (ST), and ‘Citrandarin Indio’ (CI). Deep tillage was adopted before RS citrus-types planting by opening furrows and subsoiling up to 0.6 m depth. The interrows citrus plants were covered with Brachiaria decumbens (Syn. Urochloa) in all citrus RS-type plots. A native forest area (‘Forest’) was used as reference for all θ evaluations. The model for the ER-θ relationships was determined from measurements conducted on soil samples in the laboratory. Root water uptake (RWU), in terms of θ changes, was evaluated at the different treatments under study. The obtained results proved the suitability of ER method for identifying the ER-θ dynamics in the Ultisol profiles over time. Lower and more stable θ values were obtained in the ‘Forest’ and interrow areas. Among the evaluated citrus RS-types, CSC showed the highest water use efficiency due to the greatest root system development. © 2023 Elsevier B.V.",NA,"10.1016/j.still.2022.105629","Conservative agriculture;Geophysical surveys;Natural dense layer;Tangerine crop;Tropical soil;Water storage;Brazil;Ecosystems;Electric conductivity;Forestry;Plants (botany);Soil moisture;Soil surveys;Tropics;Citrus rootstocks;Conservative agricultures;Deep tillage;Dense layer;Geophysical surveys;Natural dense layer;Tangerine crop;Tropical soils;Ultisol;Water storage;alternative agriculture;electrical resistivity;geophysical survey;rootstock;spatiotemporal analysis;tillage;Ultisol;water storage;Dynamics",NA,NA,"Included","agricultural improvement",NA,NA,NA,NA
"rayyan-219981004","Growth and productivity of Eucalyptus benthamii in integrated crop–livestock systems in southern Brazil",2023,NA,NA,"Agroforestry Systems","",97,1,"45-57","Kruchelski, S. and Trautenmüller, J.W. and Orso, G.A. and Triches, G.P. and Porfírio-da-Silva, V. and de Moraes, A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140831696&doi=10.1007%2fs10457-022-00785-0&partnerID=40&md5=d3dc47e77918e9ff85e8de97bb895bda","English",NA,"","Integrated crop–livestock systems (ICLS) are production models that promote sustainable intensification and integrate agricultural and forestry production systems, generating a combination of economic and environmental benefits. Knowledge is still scarce about the growth and productivity of the tree component in ICLS, and there is a lack of long-term landscape-scale assessments about the provision of ecosystem services in ICLS. Our objective was to evaluate the monthly stem volume increment and productivity of Eucalyptus benthamii, at 7 years old, using metal dendrometer bands, for three different models of ICLS that integrate trees to the crop (crop–forestry—CF), livestock (livestock–forestry—LF), or both (crop–livestock–forestry—CLF) in southern Brazil. The form factor decreased while increasing age, with 0.516 at 4 years and 0.437 at 6 years after planting. In ICLS, we found the productivity of E. benthamii similar to the national averages for monoculture forestry in the United States and Brazil. At 6.5 years after planting, the average annual stem volume increment was 22.7 m3 ha−1 year−1 (LF), 24.6 m3 ha−1 year−1 (CLF) and 25.5 m3 ha−1 year−1 (CF), respectively. The CF production system provided trees with greater accumulated stem volume within 7 years of age. The LF system, on the other hand, provided trees with an equal increment in diameter, but less accumulated stem volume, and, therefore, smaller heights, suggesting that there is interference from cattle and pasture management on the growth and productivity of E. benthamii. ICLS are configured as an excellent possibility for vertical expansion of agricultural frontiers, promoting sustainable intensification, as well as can prevent horizontal expansion into new areas, reducing pressure on native forests, and contributing to combating deforestation. © 2022, The Author(s), under exclusive licence to Springer Nature B.V.",NA,"10.1007/s10457-022-00785-0","Agroforestry;Annual volumetric increment;Dendrometer band;Sustainable intensification;Vertical agricultural frontier;Brazil;United States;agroforestry;evergreen forest;forestry production;growth;mixed farming;monoculture;sustainability;volume",NA,NA,"Excluded",NA,NA,NA,"wrong population",NA
"rayyan-219981005","Flowering and fruiting show phenological complementarity in both trees and non-trees in mosaic-burnt floodable savanna",2023,NA,NA,"Journal of Environmental Management","",337,NA,"","dos Santos Ferreira, B.H. and da Rosa Oliveira, M. and Mariano Fernandes, R.A. and Fujizawa Nacagava, V.A. and Arguelho, B.A. and Ribeiro, D.B. and Pott, A. and Damasceno Junior, G.A. and Garcia, L.C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150384623&doi=10.1016%2fj.jenvman.2023.117665&partnerID=40&md5=dfb6412a833c55db41c53ff0193125c6","English",NA,"","The homogenization of fire regimes in a landscape may imply a temporal reduction in the availability of resources, such as flowers and fruits, which affect the fauna, as well as ecosystem services. We hypothesized that maintaining mosaic burning regimes, and thereby pyrodiversity, can diversify phenological patterns, ensuring year-round availability of flowers and fruits. Here we monitored open grassy tropical savanna phenology under different historical fire frequencies and fire seasons in a highly heterogeneous landscape in an Indigenous Territory in Brazil. We evaluated phenological patterns of tree and non-tree plants through monthly surveys over three years. These two life forms responded differently to climate and photoperiod variables and to fire. Different fire regimes led to a continuous availability of flowers and fruits, due to the complementarity between tree and non-tree phenologies. Late-season fires are supposed to be more devastating, but we did not detect a significant reduction in flower and fruit production, especially under moderate fire frequency. However, late burning in patches under high frequency resulted in a low availability of ripe fruits in trees. The fruiting of non-tree plants in patches under low fire frequency and early burning ensure ripe fruit, when there are practically no trees fruiting in the entire landscape. We conclude that maintaining a seasonal fire mosaic should be prioritized over historical fire regimes, which lead to homogenization. Fire management is best conducted between the end of the rainy season and the beginning of the dry season, when the risk of burning fertile plants is lower. © 2023 Elsevier Ltd",NA,"10.1016/j.jenvman.2023.117665","Fire-prone wetlands;Grassy floodplains;Indigenous fire brigades;Kadiwéu;Prescribed burning;Ecosystem;Fires;Flowers;Fruit;Grassland;Reproduction;Brazil;Ecosystems;Fires;Floods;Plants (botany);Fire brigade;Fire frequencies;Fire prone;Fire regimes;Fire-prone wetland;Flood plains;Grassy floodplain;Indigenous fire brigade;Kadiweu;Prescribed burning;complementarity;fire management;floodplain;flowering;fruiting;phenology;prescribed burning;savanna;wetland;Article;Brazil;canopy;climate;dry season;fire;flowering;fruiting;mosaicism;phenology;photoperiodicity;rainy season;savanna;tree;ecosystem;fire;flower;fruit;grassland;reproduction;Fruits",NA,NA,"Included","fire management",NA,NA,NA,NA
"rayyan-219981006","Native forest cover safeguards stream water quality under a changing climate",2021,NA,NA,"Ecological Applications","",31,7,"","Piffer, P.R. and Tambosi, L.R. and Ferraz, S.F.D.B. and Metzger, J.P. and Uriarte, M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113187637&doi=10.1002%2feap.2414&partnerID=40&md5=9204c5c26203b3bdb2d9708a3e19a5ee","English",NA,"","Ensuring a sufficient and adequate supply of water for humans and ecosystems is a pressing environmental challenge. The expansion of agricultural and urban lands has jeopardized watershed ecosystem services and a changing climate poses additional risks for regional water supply. We used stream water quality data collected between 2000 and 2014, coupled with detailed precipitation and land cover information, to investigate the effects of landscape composition and short-term precipitation variability on the quality of water resources in the state of São Paulo, Brazil. The state is home to over 45 million people and has a long history of human landscape modification. A severe drought in 2014–2015 led to a major water crisis and highlighted the fragility of the regional water supply system. We found that human-dominated watersheds had lower overall water quality when compared to forested watersheds, with urban cover showing the most detrimental impacts on water quality. Forest cover was associated with a better overall water quality across the studied watersheds, with forested watersheds having low turbidity and high dissolved oxygen. High precipitation led to increased turbidity and fecal coliforms levels and lower dissolved oxygen in streams but these effects depended on watershed land cover. High precipitation diluted concentrations of nitrogen and dissolved solids in highly urbanized watersheds but exacerbated turbidity in pasture-dominated watersheds. Given the high costs of water treatment in densely populated regions, there is a pressing need to plan and manage landscapes in order to ensure adequate water resources. In tropical regions, maintaining or restoring native vegetation cover is a promising intervention to sustain adequate water quality. © 2021 by the Ecological Society of America",NA,"10.1002/eap.2414","forest restoration;land use cover changes;landscape management;precipitation;water provision;watershed ecosystem services;Brazil;Climate Change;Ecosystem;Environmental Monitoring;Forests;Humans;Rivers;Water Quality;Brazil;Sao Paulo [Brazil];agricultural land;climate change;dissolved oxygen;forest cover;land cover;native species;pasture;streamwater;water quality;watershed;Brazil;climate change;ecosystem;environmental monitoring;forest;human;river;water quality",NA,NA,"Excluded",NA,NA,NA,"wrong population",NA
"rayyan-219981007","Economic valuation of selected coastal ecosystems based on key provisioning and regulation services of Jaguaruna (Brazil)",2023,NA,NA,"Desenvolvimento e Meio Ambiente","",62,NA,"267-287","Sfreddo, G.A. and Ruiz, J.A.C. and Da Silva, T.S. and Barboza, E.G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173282232&doi=10.5380%2fdma.v62i0.82424&partnerID=40&md5=5f1f3567eea00785f6a637a1adfbc180","English",NA,"","The search for sustainability can be understood as a trajectory towards the maintenance of ecosystem services, which includes ways of minimizing the risk of losing them due to some imminent coastal hazard. Thus, this study aimed to evaluate the state of key-ecosystem services of provisioning and regulation in the southern coast of the state of Santa Catarina in the face of coastal stressors. For the development of the research, eight types of ecosystems were identified and mapped, according to a key ecosystem service offered by each of them, and the four largest in area were selected to apply the environmental valuation methodologies. The methodologies used were the Avoided Costs Method (ACM) and the Replacement Cost Method (RCM). The ACM calculates the economic value of the benefits that an ecosystem provides that would not be available if it did not exist. In turn, the RCM is based on the replacement cost of a damaged asset. Valuation results for Agriculture and Cattle farming; Continental waters and Marine environment; and Afforestation were respectively 1.74; 2.86; 2.89 million of dollars per year, while results for Dunes, Beaches and Restingas were in the range of USD 3,120-6,240 ha-1 yr-1. These values should be understood as approximations of the true economic dimension of the damages caused by the use of ecosystems, since they correspond to how much the environment is capable of monetarily returning to individuals. Furthermore, these values cannot be used to calculate fines in case of environmental degradation. © 2023 WITPress. All rights reserved.",NA,"10.5380/dma.v62i0.82424","avoided costs method;coastal risk;environmental valuation methods;replacement cost method;Brazil;Santa Catarina;afforestation;coastal zone;cost analysis;ecosystem service;environmental economics;service provision;sustainability",NA,NA,"Included","ecosystem services",NA,NA,NA,NA
"rayyan-219981008","Biocultural restoration improves delivery of ecosystem services in social-ecological landscapes",2022,NA,NA,"Restoration Ecology","",30,5,"","Sena, P.H.A. and Gonçalves-Souza, T. and Gonçalves, P.H.S. and Ferreira, P.S.M. and Gusmão, R.A.F. and Melo, F.P.L.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120609558&doi=10.1111%2frec.13599&partnerID=40&md5=5ed2f667f60be2628a098b9e0f6ae194","English",NA,"","Increasing local people and indigenous communities' participation on restoration programs is widely recommended as a way to increase restoration long-term benefits and local people's commitment with restored lands. Here, we demonstrate how traditional knowledge can provide crucial information on usefulness of plant species that increases direct value of forest and landscape restoration programs. Our study analyzed secondary data from 73 studies that assessed indigenous and local knowledge regarding plant's utility across the densely populated dry forest of the Brazilian Caatinga. Our results suggest that highly valued plants represent a relatively small number of useful species (52 out of 632 useful species) that account for more than half of the plant services (i.e. functional space represented by the uses people give to plants). Interestingly, these plants belonged to closely related lineages, suggesting that people must select plants based on phylogenetically conserved traits that provide utility. We propose that accounting for indigenous and local knowledge in early phases of restoration process such as species selection can both maximize classical restoration targets (e.g. species diversity) and increase delivery of ecosystem services to forest-dependent people. Such an interdisciplinary integration moves us a step closer to ambitious targets set for global ecosystem restoration based on fair and inclusive participation of indigenous people and local communities. © 2021 Society for Ecological Restoration.",NA,"10.1111/rec.13599","benefits from biodiversity;ecology;ethnobotany;forest and landscape restoration;indigenous and local knowledge;participatory forest restoration;Brazil;biodiversity;ecosystem service;ethnobotany;forest management;indigenous population;local participation;restoration ecology;traditional knowledge",NA,NA,"Excluded",NA,NA,NA,"driver analysis",NA
