term,strength.x,rank.x,strength.y,rank.y,source,strength,rank
ecosystem function,NA,NA,NA,NA,Old Only,496,171
water-holding capacity,NA,NA,NA,NA,New Only,7,1
coffee agroecosystems,NA,NA,NA,NA,New Only,18,2
lantana camara,NA,NA,NA,NA,New Only,18,2
conservation agriculture,NA,NA,NA,NA,New Only,20,5
rainforest restoration,NA,NA,NA,NA,New Only,22,6
quality indicators,NA,NA,NA,NA,New Only,23,7
restoration priorities,NA,NA,NA,NA,New Only,23,7
amazonian brazil,NA,NA,NA,NA,New Only,25,9
management effects,NA,NA,NA,NA,New Only,25,9
n2-fixing trees,NA,NA,NA,NA,New Only,26,11
tropical lowlands,NA,NA,NA,NA,New Only,29,12
coffee landscapes,NA,NA,NA,NA,New Only,31,13
central highlands,NA,NA,NA,NA,New Only,32,14
labile organic,NA,NA,NA,NA,New Only,33,15
northern thailand,NA,NA,NA,NA,New Only,33,15
typical subtropical,NA,NA,NA,NA,New Only,36,17
western himalaya,NA,NA,NA,NA,New Only,37,18
indian forests,NA,NA,NA,NA,New Only,39,19
himachal pradesh,NA,NA,NA,NA,New Only,40,20
tropical pasture,NA,NA,NA,NA,New Only,40,20
forest biomass carbon,NA,NA,NA,NA,New Only,43,22
management impacts,NA,NA,NA,NA,New Only,43,22
provisioning ecosystem services,NA,NA,NA,NA,New Only,43,22
climate policy,NA,NA,NA,NA,New Only,44,25
large-scale ecological,NA,NA,NA,NA,New Only,44,25
large-scale ecological restoration,NA,NA,NA,NA,New Only,44,25
satellite images,NA,NA,NA,NA,New Only,45,28
tropical wetlands,NA,NA,NA,NA,New Only,45,28
greater mekong,NA,NA,NA,NA,New Only,46,30
cocoa production,NA,NA,NA,NA,New Only,47,31
lowland rainforests,NA,NA,NA,NA,New Only,47,31
earth observation,NA,NA,NA,NA,New Only,49,33
poverty reduction,NA,NA,NA,NA,New Only,51,34
provisioning ecosystem,NA,NA,NA,NA,New Only,51,34
selectively logged tropical forests,NA,NA,NA,NA,New Only,51,34
sustainable agroforestry,NA,NA,NA,NA,New Only,51,34
tropical evergreen,NA,NA,NA,NA,New Only,51,34
community forest management,NA,NA,NA,NA,New Only,54,39
estimating aboveground biomass,NA,NA,NA,NA,New Only,54,39
international climate,NA,NA,NA,NA,New Only,54,39
rainforest conversion,NA,NA,NA,NA,New Only,54,39
shade coffee,NA,NA,NA,NA,New Only,54,39
southern ecuador,NA,NA,NA,NA,New Only,55,44
pinus massoniana,NA,NA,NA,NA,New Only,56,46
successional tropical,NA,NA,NA,NA,New Only,56,46
carbon neutrality,NA,NA,NA,NA,New Only,57,48
forest biomass recovery,NA,NA,NA,NA,New Only,57,48
central kalimantan,NA,NA,NA,NA,New Only,59,50
litter manipulation,NA,NA,NA,NA,New Only,59,50
estimating aboveground,NA,NA,NA,NA,New Only,61,52
restoring tropical,NA,NA,NA,NA,New Only,62,53
cacao agroforestry,NA,NA,NA,NA,New Only,63,54
vegetation restoration,NA,NA,NA,NA,New Only,63,54
moist tropical,NA,NA,NA,NA,New Only,65,57
coffee farms,NA,NA,NA,NA,New Only,66,59
forest canopies,NA,NA,NA,NA,New Only,66,59
selectively logged tropical,NA,NA,NA,NA,New Only,66,59
terrestrial carbon sinks,NA,NA,NA,NA,New Only,66,59
airborne lidar,NA,NA,NA,NA,New Only,67,63
brazilian cerrado,NA,NA,NA,NA,New Only,67,63
community assembly,NA,NA,NA,NA,New Only,67,63
biochar application,NA,NA,NA,NA,New Only,68,66
colombian amazon,NA,NA,NA,NA,New Only,68,66
cropping systems,NA,NA,NA,NA,New Only,69,68
south china,NA,NA,NA,NA,New Only,70,69
bornean tropical,NA,NA,NA,NA,New Only,71,70
sub-saharan africa,NA,NA,NA,NA,New Only,71,70
ecological sustainability,NA,NA,NA,NA,New Only,73,72
southwest china,NA,NA,NA,NA,New Only,74,73
ecuadorian amazon,NA,NA,NA,NA,New Only,76,77
wildlife sanctuary,NA,NA,NA,NA,New Only,76,77
economic valuation,NA,NA,NA,NA,New Only,78,80
fungal communities,NA,NA,NA,NA,New Only,78,80
highly degraded,NA,NA,NA,NA,New Only,78,80
livestock production,NA,NA,NA,NA,New Only,78,80
nature reserve,NA,NA,NA,NA,New Only,78,80
restored tropical forest,NA,NA,NA,NA,New Only,79,85
biological activity,NA,NA,NA,NA,New Only,80,86
carbon stock potential,NA,NA,NA,NA,New Only,80,86
coffee production,NA,NA,NA,NA,New Only,80,86
stock potential,NA,NA,NA,NA,New Only,80,86
nitrous oxide,NA,NA,NA,NA,New Only,81,91
climate solutions,NA,NA,NA,NA,New Only,82,92
tropical reforestation,NA,NA,NA,NA,New Only,82,92
carbon offsets,NA,NA,NA,NA,New Only,83,94
tropical agroforestry system,NA,NA,NA,NA,New Only,83,94
aboveground biomass accumulation,NA,NA,NA,NA,New Only,85,97
biodiversity recovery,NA,NA,NA,NA,New Only,85,97
species distribution,NA,NA,NA,NA,New Only,86,99
tropical forest degradation,NA,NA,NA,NA,New Only,86,99
farming systems,NA,NA,NA,NA,New Only,87,101
logged tropical forests,NA,NA,NA,NA,New Only,87,101
restored tropical,NA,NA,NA,NA,New Only,87,101
restoration plantings,NA,NA,NA,NA,New Only,88,104
regenerating tropical,NA,NA,NA,NA,New Only,91,105
secondary forest regeneration,NA,NA,NA,NA,New Only,91,105
tropical savanna,NA,NA,NA,NA,New Only,91,105
tropical forest management,NA,NA,NA,NA,New Only,93,108
carbon sequestration rates,NA,NA,NA,NA,New Only,95,109
mangrove conservation,NA,NA,NA,NA,New Only,95,109
forest policy,NA,NA,NA,NA,New Only,96,112
pollination services,NA,NA,NA,NA,New Only,96,112
voluntary carbon,NA,NA,NA,NA,New Only,96,112
hainan island,NA,NA,NA,NA,New Only,97,115
nitrogen deposition,NA,NA,NA,NA,New Only,97,115
nutrient limitation,NA,NA,NA,NA,New Only,97,115
organic carbon storage,NA,NA,NA,NA,New Only,97,115
central amazonia,NA,NA,NA,NA,New Only,99,120
carbon stock estimation,NA,NA,NA,NA,New Only,100,122
stock estimation,NA,NA,NA,NA,New Only,100,122
plantation forests,NA,NA,NA,NA,New Only,101,124
nitrogen addition,NA,NA,NA,NA,New Only,102,125
altitudinal gradient,NA,NA,NA,NA,New Only,104,126
malaysian borneo,NA,NA,NA,NA,New Only,106,127
timber plantations,NA,NA,NA,NA,New Only,106,127
aboveground carbon storage,NA,NA,NA,NA,New Only,107,129
amazon forests,NA,NA,NA,NA,New Only,108,130
tropical moist forest,NA,NA,NA,NA,New Only,108,130
climate variability,NA,NA,NA,NA,New Only,109,132
logged tropical,NA,NA,NA,NA,New Only,109,132
nature-based solutions,NA,NA,NA,NA,New Only,110,135
carbon recovery,NA,NA,NA,NA,New Only,113,136
tropical trees,NA,NA,NA,NA,New Only,113,136
tropical peatlands,NA,NA,NA,NA,New Only,115,138
large-scale forest restoration,NA,NA,NA,NA,New Only,116,141
management regimes,NA,NA,NA,NA,New Only,117,142
restoring degraded,NA,NA,NA,NA,New Only,117,142
successional pathways,NA,NA,NA,NA,New Only,117,142
assessing carbon,NA,NA,NA,NA,New Only,118,145
community forests,NA,NA,NA,NA,New Only,120,146
natural tropical,NA,NA,NA,NA,New Only,120,146
tropical lowland,NA,NA,NA,NA,New Only,122,149
biological diversity,NA,NA,NA,NA,New Only,123,151
poverty alleviation,NA,NA,NA,NA,New Only,123,151
central america,NA,NA,NA,NA,New Only,125,153
potential carbon,NA,NA,NA,NA,New Only,125,153
nutrient dynamics,NA,NA,NA,NA,New Only,126,155
mitigation strategy,NA,NA,NA,NA,New Only,128,156
tropical agroforestry,NA,NA,NA,NA,New Only,128,156
ecosystem carbon storage,NA,NA,NA,NA,New Only,130,159
microbial community,NA,NA,NA,NA,New Only,130,159
biomass recovery,NA,NA,NA,NA,New Only,131,161
coffee agroforestry,NA,NA,NA,NA,New Only,132,162
monoculture plantations,NA,NA,NA,NA,New Only,132,162
reduced emissions,NA,NA,NA,NA,New Only,133,164
human-modified landscapes,NA,NA,NA,NA,New Only,134,165
intact forest,NA,NA,NA,NA,New Only,135,166
water quality,NA,NA,NA,NA,New Only,135,166
restoration success,NA,NA,NA,NA,New Only,137,168
rural development,NA,NA,NA,NA,New Only,138,169
successional trajectories,NA,NA,NA,NA,New Only,139,171
swamp forests,NA,NA,NA,NA,New Only,139,171
cropping system,NA,NA,NA,NA,New Only,140,173
ecosystem carbon stocks,NA,NA,NA,NA,New Only,140,173
tropical forest succession,NA,NA,NA,NA,New Only,140,173
carbon management,NA,NA,NA,NA,New Only,143,176
congo basin,NA,NA,NA,NA,New Only,143,176
machine learning,NA,NA,NA,NA,New Only,143,176
northeast india,NA,NA,NA,NA,New Only,143,176
tropical moist,NA,NA,NA,NA,New Only,143,176
changing climate,NA,NA,NA,NA,New Only,145,181
biomass estimation,NA,NA,NA,NA,New Only,147,182
species plantations,NA,NA,NA,NA,New Only,148,183
humid tropical forests,NA,NA,NA,NA,New Only,149,184
tropical peatland,NA,NA,NA,NA,New Only,150,185
forest aboveground,NA,NA,NA,NA,New Only,151,186
emission reductions,NA,NA,NA,NA,New Only,152,187
united states,NA,NA,NA,NA,New Only,152,187
production forests,NA,NA,NA,NA,New Only,153,189
slash-and-burn agriculture,NA,NA,NA,NA,New Only,154,190
biomass production,NA,NA,NA,NA,New Only,155,191
carbon fluxes,NA,NA,NA,NA,New Only,155,191
amazon basin,NA,NA,NA,NA,New Only,156,193
agroforestry practices,NA,NA,NA,NA,New Only,158,194
early successional,NA,NA,NA,NA,New Only,159,195
organic carbon stocks,NA,NA,NA,NA,New Only,159,195
reduced-impact logging,NA,NA,NA,NA,New Only,161,197
lowland tropical forest,NA,NA,NA,NA,New Only,162,198
large-scale forest,NA,NA,NA,NA,New Only,163,199
degraded tropical forests,NA,NA,NA,NA,New Only,167,200
forest cover change,NA,NA,NA,NA,New Only,167,200
forest regrowth,NA,NA,NA,NA,New Only,172,203
microbial communities,NA,NA,NA,NA,New Only,172,203
sequestration rates,NA,NA,NA,NA,New Only,173,205
democratic republic,NA,NA,NA,NA,New Only,174,206
tropical montane forest,NA,NA,NA,NA,New Only,174,206
secondary tropical forests,NA,NA,NA,NA,New Only,178,210
anthropogenic disturbances,NA,NA,NA,NA,New Only,183,211
forest dynamics,NA,NA,NA,NA,New Only,183,211
amazon region,NA,NA,NA,NA,New Only,185,214
agricultural practices,NA,NA,NA,NA,New Only,187,216
tropical soils,NA,NA,NA,NA,New Only,189,217
management systems,NA,NA,NA,NA,New Only,192,219
carbon markets,NA,NA,NA,NA,New Only,193,220
moist forest,NA,NA,NA,NA,New Only,193,220
satellite imagery,NA,NA,NA,NA,New Only,194,222
neotropical forest,NA,NA,NA,NA,New Only,198,226
forest patches,NA,NA,NA,NA,New Only,199,227
humid tropics,NA,NA,NA,NA,New Only,200,228
silvopastoral systems,NA,NA,NA,NA,New Only,203,229
organic carbon stock,NA,NA,NA,NA,New Only,205,230
ecosystem service provision,NA,NA,NA,NA,New Only,207,232
selectively logged,NA,NA,NA,NA,New Only,210,233
forest plantations,NA,NA,NA,NA,New Only,211,234
service provision,NA,NA,NA,NA,New Only,213,237
development goals,NA,NA,NA,NA,New Only,214,238
sustainable development goals,NA,NA,NA,NA,New Only,214,238
production systems,NA,NA,NA,NA,New Only,215,241
eastern amazon,NA,NA,NA,NA,New Only,216,242
opportunity costs,NA,NA,NA,NA,New Only,216,242
successional stages,NA,NA,NA,NA,New Only,216,242
belowground carbon,NA,NA,NA,NA,New Only,226,247
central africa,NA,NA,NA,NA,New Only,230,249
forest ecosystem services,NA,NA,NA,NA,New Only,232,250
land-use systems,NA,NA,NA,NA,New Only,234,251
carbon balance,NA,NA,NA,NA,New Only,237,252
avoided deforestation,NA,NA,NA,NA,New Only,240,253
belowground biomass,NA,NA,NA,NA,New Only,245,254
carbon density,NA,NA,NA,NA,New Only,247,255
mangrove forests,NA,NA,NA,NA,New Only,253,256
primary productivity,NA,NA,NA,NA,New Only,254,258
forest inventory,NA,NA,NA,NA,New Only,257,260
community forest,NA,NA,NA,NA,New Only,261,261
mitigation potential,NA,NA,NA,NA,New Only,261,261
montane forests,NA,NA,NA,NA,New Only,262,263
restoration projects,NA,NA,NA,NA,New Only,268,267
nutrient availability,NA,NA,NA,NA,New Only,273,268
mangrove forest,NA,NA,NA,NA,New Only,276,269
chemical properties,NA,NA,NA,NA,New Only,281,270
forest landscape restoration,NA,NA,NA,NA,New Only,285,271
ecosystem restoration,NA,NA,NA,NA,New Only,292,275
tropical secondary forests,NA,NA,NA,NA,New Only,292,275
tropical forest carbon,NA,NA,NA,NA,New Only,301,279
terrestrial ecosystems,NA,NA,NA,NA,New Only,307,280
above-ground carbon,NA,NA,NA,NA,New Only,309,281
forest protection,NA,NA,NA,NA,New Only,310,282
regenerating forests,NA,NA,NA,NA,New Only,321,283
carbon cycling,NA,NA,NA,NA,New Only,325,285
terrestrial carbon,NA,NA,NA,NA,New Only,339,288
tropical forest ecosystems,NA,NA,NA,NA,New Only,340,289
environmental services,NA,NA,NA,NA,New Only,347,291
ecosystem services provided,NA,NA,NA,NA,New Only,348,293
human disturbance,NA,NA,NA,NA,New Only,348,293
tropical deforestation,NA,NA,NA,NA,New Only,348,293
agricultural landscapes,NA,NA,NA,NA,New Only,356,297
tropical landscapes,NA,NA,NA,NA,New Only,360,299
forest fragments,NA,NA,NA,NA,New Only,362,300
forest resource,NA,NA,NA,NA,New Only,380,304
allometric equations,NA,NA,NA,NA,New Only,389,306
management strategies,NA,NA,NA,NA,New Only,389,306
microbial biomass,NA,NA,NA,NA,New Only,389,306
forest biomass,NA,NA,NA,NA,New Only,397,311
restoration strategies,NA,NA,NA,NA,New Only,404,312
biomass accumulation,NA,NA,NA,NA,New Only,422,313
ecosystem functions,NA,NA,NA,NA,New Only,427,314
agricultural landscape,NA,NA,NA,NA,New Only,445,319
carbon content,NA,NA,NA,NA,New Only,448,320
mitigate climate,NA,NA,NA,NA,New Only,449,321
mitigate climate change,NA,NA,NA,NA,New Only,449,321
carbon accumulation,NA,NA,NA,NA,New Only,450,323
carbon sinks,NA,NA,NA,NA,New Only,457,324
tropical forest ecosystem,NA,NA,NA,NA,New Only,459,325
forest landscapes,NA,NA,NA,NA,New Only,463,327
carbon pools,NA,NA,NA,NA,New Only,466,328
ecosystem carbon,NA,NA,NA,NA,New Only,468,329
services provided,NA,NA,NA,NA,New Only,474,332
climate mitigation,NA,NA,NA,NA,New Only,485,333
carbon dynamics,NA,NA,NA,NA,New Only,515,338
sustainable development,NA,NA,NA,NA,New Only,549,340
forest types,NA,NA,NA,NA,New Only,560,342
aboveground carbon,NA,NA,NA,NA,New Only,568,343
biomass carbon,NA,NA,NA,NA,New Only,588,345
total carbon,NA,NA,NA,NA,New Only,624,348
natural forests,NA,NA,NA,NA,New Only,626,349
tropical ecosystem,NA,NA,NA,NA,New Only,676,353
sustainable management,NA,NA,NA,NA,New Only,686,355
carbon dioxide,NA,NA,NA,NA,New Only,690,356
carbon sequestration potential,NA,NA,NA,NA,New Only,694,357
sequestration potential,NA,NA,NA,NA,New Only,831,362
management practices,NA,NA,NA,NA,New Only,843,363
organic matter,NA,NA,NA,NA,New Only,862,364
nutrient cycling,NA,NA,NA,NA,New Only,865,365
reducing emissions,NA,NA,NA,NA,New Only,874,366
carbon emissions,NA,NA,NA,NA,New Only,908,369
forest carbon,NA,NA,NA,NA,New Only,1209,374
organic carbon,NA,NA,NA,NA,New Only,1515,385
tropical regions,NA,NA,NA,NA,New Only,1705,389
ecosystem service,NA,NA,NA,NA,New Only,5360,400
