title,abstract,abstract_id
Diversified crop rotations increase the yield and economic efficiency of grain production systems,crop rotations with high plant diversity and biomass input have been recognized worldwide as a crucial practice for increasing the sustainability of grain production systems particularly in regions under notillage nt management nonetheless lowdiversity grain production systems based on double cropping two crops in the same agricultural year repeated over time including soybean followed by maize known in brazil as second crop maize or wheat remain prevalent in brazil the continuous use of these systems can impair soil yield capacity farmers profits and environmental sustainability therefore this study aimed to verify the grain yield and profitability of different production systems with different levels of plant diversity this study was based on results obtained during the 20092017 cropping seasons through a longterm field trial conducted under nt since 1985 in southern brazil the trial covered two 4year agricultural cycles with two crops per year resulting in eight crops per cycle and 16 crops over the entire period the experiment followed a randomized complete block design with five treatments and four replicates the treatments involved three diversified crop rotations comprising different cover crops and two doublecrop systems wheatsoybean and maizesoybean for a given agricultural year wheat and cover crops white oats black oats and forage radish were grown from may to september and the second crop maize was grown from march to august soybean and first crop maize were grown during the summer from october to february the grain yield gross revenue production cost and cumulative profit were analyzed for each production system gross revenue and profit were primarily estimated based on the actual annual average commodity prices received by farmers and two additional price scenarios pessimistic and optimistic were proposed considering the average prices from 2010 to 2017 regardless of the cropping season first crop maize and wheat grain yields were higher in diversified crop rotations the production system only affected the second crop maize yield in 20102011 with a higher value obtained in a diversified crop rotation system the soybean yield in diversified crop rotations was higher than that in double crop systems considering each cash crop separately soybean produced the highest average profit us 47250 ha1 followed by the first crop maize us 24531 ha1 and wheat us 7771 ha1 whereas the second crop maize led to economic losses us 12173 ha1 all diversified crop rotations produced a higher 8year cumulative profit and gross margin than the maizesoybean in doublecrop system the relative economic performance of production systems remained unchanged under alternative price scenarios pessimistic and optimistic compared with that under the observed actual price scenario however the cumulative profit of maize and soybean in doublecrop system was the most negatively impacted in the pessimistic scenario 459 indicating greater economic risk overall lack of direct revenues from cover crops were compensated by increased grain yield in the springsummer season and profitability of diversified crop rotation systems therefore diversified crop rotation systems are economically competitive with double crop systems rendering them feasible management options for conserving natural resources and increasing crop resilience to adverse climatic conditions,11
Greenhouse gas balance and carbon footprint of beef cattle in three contrasting pasture-management systems in Brazil,integrated systems is have been identified as an efficient landmanagement strategy for restoring degraded areas worldwide increasing crops and beef yields and providing technical potential for carbon c sequestration in soil and trees as an option for offsetting ch4 and n2o emissions from cattle production the aim of our study is to estimate the greenhouse gas ghg balance and the c footprint of beef cattle fattening cycle in three contrasting production scenarios on the brachiaria pasture in brazil1 degraded pasture dp 2 managed pasture mp and 3 the croplivestockforest integrated system clfis presenting new alternatives of land use as a ghg mitigation strategy areascaled total ghg emissions were highest in mp 84541 kg co2eq ha1 followed by clfis 64519 kg co2eq ha1 and dp 8004 kg co2eq ha1 over a 10yr period our results note that the highest c footprint of beef cattle was in the dp 185 kg co2eq per kg lw live weight followed by 126 kg co2eq per kg lw in the clfis and 94 kg co2eq per kg lw in the mp without taking into account the technical potential for c sequestration in mp soil c and clfis soil and eucalyptus c considering the potential for soil c sequestration in the mp and clfis the c footprint of beef cattle could be reduced to 76 and 281 kg co2eq per kg lw in the mp and clfis respectively the conversion of the degraded pasture to a wellmanaged pasture and the introduction of clfis can reduce their associated ghg emissions in terms of kg co2eq emitted per kg of cattle lw produced increasing the production of meat grains and timber this reduction is primarily due to pasture improvement and increases in cattle yields and the provision of technical potential for c sinks in soil and biomass to offset cattlerelated emissions c 2016 elsevier ltd all rights reserved,12
Chemical characteristics of soil organic matter from integrated agricultural systems in southeastern Brazil,soil organic matter som plays an essential role in agronomic systems and is of great importance to environmental sustainability and carbon sequestration this study evaluates the accumulation of carbon in soils from integrated agricultural systems s that include crop c livestock l and forest f components in different combinations clfs lfs and cls and an undisturbed native forest nf as a reference area the study sites are part of the embrapa pecuaria sudeste research station located in the southeast of brazil in a region of dystrophic redyellow latosol soils stable carbon isotopic analysis delta c13 and solidstate c13 nuclear magnetic resonance c13 nmr spectroscopy were used to evaluate the chemical characteristics of humic acid ha extracts of soils from different soil horizons the findings were discussed in the context of laserinduced fluorescence spectroscopy lifs measurements on the whole soils and carbon content on both the whole soils and ha extracts with increasing depth of the soil horizons bulk som in the whole soil and a more recalcitrant humic fraction the ha became enriched in carbon indicative of accumulation isotopic analysis revealed that som in the croplivestockforest system exhibited delta c13 signatures corresponding to c4 plants grass and corn the native forest exhibited a uniform delta c13 signature characteristic of c3 plants native trees benzenepolycarboxylic acids bpca quantification on limited samples revealed condensed aromatic structures in both croplivestockforest system and native forest the absence of burning suggests that these compounds come from the humification of lignin based on structural characterization carbon is sequestered as recalcitrant and longlived oxidized ligninaceous structures and condensed aromatic groups the current research demonstrates the feasibility of novel agricultural approaches such as using croplivestockforest systems such pastureland management enhances higher agricultural productivity and sustainability thus avoiding new deforestation of native areas highlights integrated agricultural systems enhance carbon enrichment in soil organic matter and humic acids carbon stabilized in oxidized ligninaceous and condensed molecules promotes longterm carbon storage extended root systems are likely to play a critical role in carbon sequestration integrated agricultural systems can be effective alternatives for reducing greenhouse gaseshighlightsintegrated agricultural systems enhance carbon enrichment in soil organic matter and humic acidscarbon stabilized in oxidized ligninaceous and condensed molecules promotes longterm carbon storageextended root systems are likely to play a critical role in carbon sequestrationintegrated agricultural systems can be effective alternatives for reducing greenhouse gases,13
Environmental filters structure plant communities in the Brazilian Chaco,we characterized taxonomic and functional differences between two vegetation physiognomies in the brazilian chaco namely chaco woodland cw and chaco forest cf in order to understand which abiotic and biotic mechanisms underlie the establishment of different physiognomies we characterized the vegetation physiognomies by comparing woody species composition richness and diversity and functional diversity between cw and cf plots we also measured soil variables to characterize abiotic factors related to the different physiognomies species richness and diversity and soil nutrient values were higher in cf leaf succulence and nitrogen content were higher in cw while height leaf area and specific leaf area were higher in cf the standardized effect size s es of functional richness was higher in cw but the ses of functional dispersion did not differ between cf and cw we observed a diversity gradient related to soil fertility traits of species in cw were related to adaptations to poor soils while in cf floristic composition showed a prevalence of species with more attributes related to competition for light thus the structure of the floristic community in cw is likely related to an environmental filter while competition for resources prevails in cf,14
"Soil organic carbon in no-tillage systems of different ages in Southwest Mato Grosso, Brazils",the objectives of this study were to evaluate the effect of the notillage system on soil bulk density soil organic carbon and carbon stocks in plinthic subgroups and oxisols located in pontes and lacerda state of mato grosso brazil the treatments were native vegetation and notillage systems established for 3 8 10 and 12 years to analyse soil organic carbon soils were sampled in each area with three repetitions at layers of 0005 005010 010020 020040 040060 060100 100150 and 150200 m for soil bulk density undisturbed samples were collected at layers of 0020 and 020040 m compared with areas of native vegetation soil bulk density values after 12 years increased by 25 in oxisols and 30 in the plinthic subgroups in oxisols and plinthic subgroups respectively organic carbon concentration was on average 2057 2504 g kg1 under native vegetation 1682 1659 g kg1 after 3 years of notillage 1331 496 g kg1 after 8 years 1652 1439 g kg1 after 10 years and 1797 1853 g kg1 after 12 years in both soils the notillage system contributed to an increase in carbon stocks over the years but not at depth being generally limited to the top 020 m of the soils compared to native vegetation after 12 years of notillage carbon stocks decreased at a rate of 0075 mg ha1 year1 in the plinthic subgroups and increased by 23 mg ha1 year1 in oxisols the objectives of this study were to evaluate the effect of the notillage system on soil bulk density soil organic carbon and carbon stocks in plinthic subgroups and oxisols located in pontes and lacerda state of mato grosso brazil the treatments were native vegetation and notillage systems established for 3 8 10 and 12 years to analyse soil organic carbon soils were sampled in each area with three repetitions at layers of 0005 005010 010020 020040 040060 060100 100150 and 150200 m for soil bulk density undisturbed samples were collected at layers of 0020 and 020040 m compared with areas of native vegetation soil bulk density values after 12 years increased by 25 in oxisols and 30 in the plinthic subgroups in oxisols and plinthic subgroups respectively organic carbon concentration was on average 2057 2504 g kg1 under native vegetation 1682 1659 g kg1 after 3 years of notillage 1331 496 g kg1 after 8 years 1652 1439 g kg1 after 10 years and 1797 1853 g kg1 after 12 years in both soils the notillage system contributed to an increase in carbon stocks over the years but not at depth being generally limited to the top 020 m of the soils compared to native vegetation after 12 years of notillage carbon stocks decreased at a rate of 0075 mg ha1 year1 in the plinthic subgroups and increased by 23 mg ha1 year1 in oxisols key words conservationist agriculture soil carbon stocks bulk density oxisols plinthic subgroups,15
Global potential for natural regeneration in deforested tropical regions,extensive forest restoration is a key strategy to meet naturebased sustainable development goals and provide multiple social and environmental benefits1 yet achieving forest restoration at scale requires costeffective methods2 tree planting in degraded landscapes is a popular but costly forest restoration method that often results in less biodiverse forests when compared to natural regeneration techniques under similar conditions3 here we assess the current spatial distribution of pantropical natural forest from 2000 to 2016 and use this to present a model of the potential for natural regeneration across tropical forested countries and biomes at a spatial resolution of 30 m we estimate that an area of 215 million hectaresan area greater than the entire country of mexicohas potential for natural forest regeneration representing an aboveground carbon sequestration potential of 234 gt c range 211257 gt over 30 years five countries brazil indonesia china mexico and colombia account for 52 of this estimated potential showcasing the need for targeting restoration initiatives that leverage natural regeneration potential our results facilitate broader equitable decisionmaking processes that capitalize on the widespread opportunity for natural regeneration to help achieve national and global environmental agendas,16
A country-scale analysis revealed effective land-use zoning affecting forest cover changes in Myanmar,the permanent forest estate pfe is a tool for maintaining forest areas in perpetuity the pfe can have several different landuse zones based on different purposes here we evaluated the effectiveness of the pfe in reducing deforestation using countryscale datasets of forest cover change between 2006 and 2017 in myanmar we also evaluated the effectiveness of pfe landuse zones such as protected areas pas and production forests in reducing deforestation the effectiveness was analysed using propensity score matching to minimize the effect of the nonrandom distribution of the pfe and specific landuse zoning the results showed that the pfe significantly reduced deforestation compared to nonpfe areas within the pfe both pas and production forests had lower deforestation than nonpfe however both the pfe and nonpfe showed an increased trend of annual deforestation between 2006 and 2017 production forests also showed an increased trend of annual deforestation although pas did not we concluded that the pfe pas and production forests are effective in reducing deforestation however in myanmar further efforts should be undertaken to mitigate the increase of deforestation in the pfe especially in production forests,17
Differential seedling establishment of woody plants along a tree density gradient in Neotropical savannas,seedling dynamics are crucial for understanding spatial plant distribution patterns yet little is known about seedling establishment in neotropical savannas because empirical studies at the community level are scarce over 2 years we studied the recruitment and survival of an initial seedling assemblage and three cohorts of recruits of woody plants within 216 plots of 1 m 2 located along a tree density gradient in the savannas of central brazil these savannas differ in tree density and canopy cover from closed high canopy cover to open savannas low canopy cover and are located along shallow topographic gradients we measured communitywide seedling limitation ie proportion of 1m 2 plots without seedlings of any woody species photosynthetic photon flux density litter cover soil moisture and soil nutrients in each savanna type because closed savannas had lower ppfd and higher leaf litter cover than open savannas we evaluated the effects of light level and litter cover on seedling emergence of nine dominant savanna woody species under controlled conditions in a glasshouse density recruitment and survival of seedlings decreased over time because of mortality in all savanna types but they were consistently higher in closed than in open savannas communitywide seedling limitation was significantly lower in closed 016 003 than in open 030 005 savannas in the glasshouse high litter cover and very low light levels reduced seedling emergence of most species suggesting an adaptation to delay seed germination until the wet season when soil water availability is high and leaf litter rapidly decomposes synthesis in neotropical savannas tree canopy cover facilitates seedling establishment of woody species by reducing stressful environmental conditions in particular low irradiance and high litter cover in closed savannas enhance the recruitment and survival of woody seedlings relative to open savannas by reducing soil water deficits and increasing nutrient availability in the upper soil layers the higher seedling limitation of tree species in open than in closed savannas contributes to maintain relatively different balances between trees and herbaceous plants along topographic gradients in neotropical savannas and helps to explain spatial distribution patterns of woody species in these ecosystems 2012 the authors journal of ecology 2012 british ecological society,18
"Fodder grass productivity and soil fertility changes under four grass plus tree associations in Kerala, India",adapted treegrass combinations make a valuable contribution to forage production in the indian peninsula but knowledge of the interactive effects between trees and grasses on their production is limited we therefore conducted a field experiment involving combinations of four trees and grasses besides monospecific grass controls for seven years to investigate grass productivity in association with leguminous and non leguminous multipurpose trees mpt having disparate canopy architecture and to assess the endofrotation soil fertility changes post rotation changes in herbage productivity were evaluated by growing teosinte zea mexicana for three years the four mpts were acacia auriculiformis ailanthus triphysa casuarina equisetifolia and leucaena leucocephala grasses included pennisetum purpureum hybrid napier brachiaria ruziziensis congo signal panicum maximum guinea grass and teosinte lower tree branches were pruned from fifth year understorey herbage production increased until three years in all treegrass combinations but declined subsequently as tree crowns expanded overall casuarina among mpts and hybrid napier and guinea grass among forage crops were more productive than others pruning mpts generally favoured greater herbage production understorey light levels for acacia ailanthus casuarina and leucaena were 17 60 55 and 55 of that in the open at five years during the postrotation phase mpt plots were characterised by higher soil nutrient capital and consequently teosinte yields were higher than in the treeless control treatment all previous treegrass combinations showed an increasing trend till two years after mpt felling yield levels declined subsequently despite at variable rates careful selection of the tree and grass components is therefore crucial for optimising herbage productivity in silvopastoral systems,19
"Pasture recovery, emissions, and the Brazilian Paris agreement commitments",this paper evaluates the socioeconomic land use change and greenhouse gases emissions impacts of degraded pastures recovery dpr in brazil assessing the contribution to the brazilian paris agreement commitments we used a computable general equilibrium model termbr15 in a scenario simulation for the period 20152035 the simulation includes dpr shocks of productivity investments and soil organic carbon soc fixation we used two carbon accounting methods for the impacts on emissions the original method of brazils emissions inventory which does not consider soc and the alternative method which includes soc fixation results show a 056 growth in gross domestic product and 073 in real household consumption relative to the 2035 baseline there would be a social return of r805 billion in 2023 prices representing r827 for every real invested less developed and more dependent on cattle ranching regions would benefit the most cattle ranching would expand production using less area resulting in a landsaving effect of 115 million hectares in 2035 ghg emissions would increase by 783 in the original accounting method resulting from herd and economic growth in the alternative method 023 mitigation would occur showing that soc fixation can more than offset the economic activity growth independently of the ghg accounting method brazil would achieve the 2025 mitigation target of 37 relative to 2005 but would not meet the 50 mitigation target of 2030 soc fixation could contribute up to 57 of the 2030 mitigation target our results show that dpr is a sustainable production system that increases economic growth avoids deforestation and could mitigate ghg emissions we provide information on regional impacts suitable for better decisionmaking for pasture restoration incentives in brazil 2024 elsevier ltd,20
Forest restoration rehabilitates soil multifunctionality in riparian zones of sugarcane production landscapes,brazilian sugarcane plays a vital role in the production of both sugar and renewable energy however land use change and longterm conventional sugarcane cultivation have degraded entire watersheds including a substantial loss of soil multifunctionality in our study riparian zones have been reforested to mitigate these impacts protect aquatic ecosystems and restore ecological corridors within the sugarcane production landscapes we examined i how forest restoration enables rehabilitation of the soils multifunctionality after longterm sugarcane cultivation and ii how long it takes to regain ecosystem functions comparable to those of a primary forest we investigated a time series of riparian forests at 6 15 and 30 years after starting restoration by planting trees named active restoration and determined soil c stocks delta13c indicative of c origin as well as measures indicative of soil health a primary forest and a longterm sugarcane field were used as references eleven soil physical chemical and biological indicators were used for a structured soil health assessment calculating index scores based on soil functions foresttocane conversion reduced 306 mg ha1 of soil c stocks causing soil compaction and loss of cation exchange capacity thus degrading soils physical chemical and biological functions forest restoration for 630 years recovered 1620 mg c ha1 stored in soils in all restored sites soil functions such as supporting root growth aerating the soil nutrient storage capacity and providing c energy for microbial activity were gradually recovered thirty years of active restoration was sufficient to reach the primary forest state in overall soil health index multifunctional performance and c sequestration we conclude that active forest restoration in sugarcanedominated landscapes is an effective way to restore soil multifunctionality approaching the level of the native forest in approximately three decades moreover the c sequestration in the restored forest soils will help to mediate global warming,21
